ΑΤ11 - ΣΤΑΘΜΟΣ (ΣΙΔΗΡΟΔΡΟΜΙΚΟΣ) ΕΛΑΙΩΝΑΣ,38.372778,23.471111
ΑΤ10 - ΣΧΗΜΑΤΑΡΙ - ΑΡΜΑ,38.361111,23.518333
ΑΤ25 - ΣΤΑΘΜΟΣ (ΣΙΔΗΡΟΔΡΟΜΙΚΟΣ) ΟΙΝΟΗ,38.323333,23.608333
ΑΤ5 - ΣΤΑΘΜΟΣ (ΣΙΔΗΡΟΔΡΟΜΙΚΟΣ) ΑΥΛΩΝ,38.249444,23.695833
ΑΤ4 - ΣΤΑΘΜΟΣ (ΣΙΔΗΡΟΔΡΟΜΙΚΟΣ) ΣΦΕΝΔΑΛΗ,38.235278,23.785556
ΑΤ3 - ΣΤΑΣΗ (ΣΙΔΗΡΟΔΡΟΜΙΚΗ) ΠΟΛΥΔΕΝΔΡΙ,38.228889,23.8375
ΑΤ24 - ΑΦΙΔΝΕΣ - ΒΟΡΕΙΑ,38.203333,23.851944
ΑΤ7 - ΣΤΑΘΜΟΣ (ΣΙΔΗΡΟΔΡΟΜΙΚΟΣ) ΑΦΙΔΝΕΣ,38.188056,23.844722
ΑΤ8 - ΣΤΑΘΜΟΣ (ΣΙΔΗΡΟΔΡΟΜΙΚΟΣ) ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ,38.139444,23.858333
ΑΤ26 - ΚΡΥΟΝΕΡΙ,38.123611,23.8325
ΑΤ27 - ΣΤΑΘΜΟΣ (ΣΙΔΗΡΟΔΡΟΜΙΚΟΣ) ΑΧΑΡΝΕΣ,38.08,23.744167
SA1-ΣΙΔΗΡΟΔΡΟΜΙΚΟ ΚΕΝΤΡΟ ΑΧΑΡΝΩΝ (ΣΚΑ),38.068889,23.7375
SP1 - ΣΤΑΘΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ,38.019444,23.718056
SP2A - ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ (ΑΘΗΝΩΝ),37.988333,23.719444
SP3 - ΑΜΑΞΟΣΤΑΣΙΟ ΡΕΝΤΗ,37.961111,23.6625
